name;link_photo;description;kilometrs;time
Красная площадь и ее окрестности;http://photo.png;Красная площадь: главная площадь Москвы, на которой расположены Кремль, Исторический музей и Храм Василия Блаженного ГУМ: исторический торговый центр, отличающийся своей архитектурой и богатым выбором товаров Александровский сад: красивый парк с фонтанами, беседками и декоративными скульптурами Новый Арбат: одна из самых известных улиц Москвы, где можно прогуляться по магазинам и ресторанам;2.7км ;32 мин
Замки и дворцы Москвы;http://photo.png;- Кремль: историческая крепость, где находятся главные правительственные здания России - Дворец царя Алексея Михайловича: один из старейших дворцов России, расположенный в Коломенском - Дворец Шереметьевых: бывший дворец аристократической семьи, который сейчас является музеем - Музей-усадьба Царицыно: красивый дворец с парком, который был построен для Екатерины II - Музей-усадьба Кусково: дворец с парком, построенный в XVIII веке и служивший резиденцией графа Шереметева ;60км;1ч30мин
Искусство и культура Москвы;http://photo.png;- Третьяковская галерея: крупнейший музей русского искусства, где можно увидеть произведения знаменитых художников - Музей Изобразительных Искусств имени А.С. Пушкина: музей, посвященный искусству разных эпох и направлений - Большой театр: один из самых знаменитых театров России, где проходят постановки опер и балетов - Музей Москвы: музей, посвященный истории Москвы, где можно узнать много интересного о городе и его жителях - Музей-театр 'Московский дом актера': музей, посвященный истории российского театра, где можно увидеть костюмы и реквизит театральных постановок ;6.3км ;1ч 16 мин
Парки и сады Москвы;http://photo.png;- Городской парк имени Горького: большой парк с озером, фонтанами и многочисленными аттракционами - Парк Зарядье: новый парк, расположенный на месте бывшего открытого рынка, где можно увидеть много интересных архитектурных сооружений - Сады Московского Кремля: небольшой парк, который окружает Кремль, где можно прогуляться по аллеям и увидеть множество цветов и растений - Ботанический сад МГУ: большой ботанический сад, где можно увидеть множество редких растений и цветов. ;9км;2ч
Красивые здания Москвы;http://photo.png;- Здание Государственной Думы: красивое здание, которое является одним из главных символов российской власти. - Большой театр: красивый здание театра, который является символом Москвы - Московский метрополитен: подземный транспорт, который известен своей красивой архитектурой и декором - Казанский вокзал: исторический вокзал, который отличается своей красивой архитектурой - Отель 'Москва': исторический отель, который был построен в 1930 году и до сих пор является одним из самых красивых зданий Москвы ;5.7км;1ч
Московские храмы центра Москвы;http://photo.png;- Храм Христа Спасителя – крупнейший православный храм России, который находится на набережной Москвы-реки. - Спасская церковь – церковь, которая находится на Кузнецком мосту и является одним из символов Москвы. - Новодевичий монастырь – монастырь, который является памятником архитектуры XVI века и находится на Чудовском шоссе. ;5км;1ч
Московские улицы;http://photo.png;- Тверская улица – одна из старейших улиц Москвы, на которой находятся театры, магазины и рестораны. - Никольская улица – улица, которая находится рядом с Кремлем и является популярной туристической достопримечательностью. - Садовое кольцо – кольцевая улица, которая проходит вокруг центра Москвы и на которой находится множество исторических зданий. ;5.3км;1ч
Московские театры;http://photo.png; - Большой театр – театр, который находится на Театральной площади и является одним из самых известных театров мира. - Малый театр – театр, который находится на Тверской улице и является одним из старейших театров России. - Московский драматический театр им. А. С. Пушкина, расположенный в старинном особняке середины XVIII века в самом сердце Москвы — на Тверском бульваре, был открыт в 1950 году.  - Театр имени Вахтангова – театр, который находится на Тверской улице и является одним из самых популярных театров Москвы. ;3.8км;45 мин
Московские мосты;http://photo.png; - Парящий мост в парке Зарядье. Панорамная смотровая площадка над рекой с видами на Кремль, Китай-город, Раушскую и Москворецкую набережную - Большой Каменный мост – мост, который находится на Красной площади и является одним из старейших мостов Москвы. - Мост Бородинский – мост, который находится на Москва-реке и является популярной туристической достопримечательностью. -Мост «Багратион» можно назвать «московским новоделом». Он появился на карте города относительно недавно, строительство было закончено в 1997 году. Мост соединяет Краснопресненскую набережную и набережную Тараса Шевченко. И как нетрудно догадаться, он назван в честь известного русского полководца Петра Багратиона. ;7.3км;1.5ч
По следам русских писателей;http://photo.png;1. Дом-музей Льва Толстого - здесь жил и работал знаменитый писатель, создатель 'Войны и мира'. 2. Памятник А.П.Чехову - знаменитый русский писатель провел здесь свой детский и юношеский возраст. 3.Памятник Сергею Александровичу Есенину 3. Дом-музей М.А.Булгакова - здесь жил и создавал свои произведения автор культового романа 'Мастер и Маргарита'. ;6.5;1ч 15 минут